title,link,year,citations
Adaptive stock trading strategies with deep reinforcement learning methods,https://www.sciencedirect.com/science/article/pii/S0020025520304692,2020,Cited by 292
Deep reinforcement learning approach for trading automation in the stock market,https://ieeexplore.ieee.org/abstract/document/9877940/,2022,Cited by 92
Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,https://www.sciencedirect.com/science/article/pii/S0957417420307776,2021,Cited by 89
FinRL: A deep reinforcement learning library for automated stock trading in quantitative finance,https://arxiv.org/abs/2011.09607,2020,Cited by 235
Deep reinforcement learning for automated stock trading: An ensemble strategy,https://dl.acm.org/doi/abs/10.1145/3383455.3422540,2020,Cited by 358
Stock market prediction using deep reinforcement learning,https://www.mdpi.com/2571-5577/6/6/106,2023,Cited by 41
Stock trading strategies based on deep reinforcement learning,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/4698656,2022,Cited by 42
Application of deep reinforcement learning in stock trading strategies and stock forecasting,https://link.springer.com/article/10.1007/s00607-019-00773-w,2020,Cited by 175
Deeptrader: a deep reinforcement learning approach for risk-return balanced portfolio management with market conditions embedding,https://ojs.aaai.org/index.php/AAAI/article/view/16144,2021,Cited by 140
A deep reinforcement learning-based decision support system for automated stock market trading,https://ieeexplore.ieee.org/abstract/document/9969608/,2022,Cited by 36
A novel rms-driven deep reinforcement learning for optimized portfolio management in stock trading,https://ieeexplore.ieee.org/abstract/document/10904473/,2025,Cited by 5
Stock portfolio management by using fuzzy ensemble deep reinforcement learning algorithm,https://www.mdpi.com/1911-8074/16/3/201,2023,Cited by 18
FinRL: Deep reinforcement learning framework to automate trading in quantitative finance,https://dl.acm.org/doi/abs/10.1145/3490354.3494366,2021,Cited by 157
Explainable deep reinforcement learning for portfolio management: an empirical approach,https://dl.acm.org/doi/abs/10.1145/3490354.3494415,2021,Cited by 43
Deep reinforcement learning model for stock portfolio management based on data fusion,https://link.springer.com/article/10.1007/s11063-024-11582-4,2024,Cited by 10
Beating the stock market with a deep reinforcement learning day trading system,https://ieeexplore.ieee.org/abstract/document/9206938/,2020,Cited by 44
A novel deep reinforcement learning based automated stock trading system using cascaded lstm networks,https://www.sciencedirect.com/science/article/pii/S0957417423033031,2024,Cited by 57
Deep reinforcement learning in quantitative algorithmic trading: A review,https://arxiv.org/abs/2106.00123,2021,Cited by 85
"An overview of machine learning, deep learning, and reinforcement learning-based techniques in quantitative finance: recent progress and challenges",https://www.mdpi.com/2076-3417/13/3/1956,2023,Cited by 170
Multi-agent deep reinforcement learning algorithm with trend consistency regularization for portfolio management,https://link.springer.com/article/10.1007/s00521-022-08011-9,2023,Cited by 21
Portfolio dynamic trading strategies using deep reinforcement learning,https://link.springer.com/article/10.1007/s00500-023-08973-5,2024,Cited by 24
Deep reinforcement learning for financial trading using multi-modal features,https://www.sciencedirect.com/science/article/pii/S0957417423023515,2024,Cited by 30
A parallel multi-module deep reinforcement learning algorithm for stock trading,https://www.sciencedirect.com/science/article/pii/S0925231221005233,2021,Cited by 61
Application of features and neural network to enhance the performance of deep reinforcement learning in portfolio management,https://ieeexplore.ieee.org/abstract/document/9403044/,2021,Cited by 27
Empirical analysis of automated stock trading using deep reinforcement learning,https://www.mdpi.com/2076-3417/13/1/633,2023,Cited by 18
A multi-layer and multi-ensemble stock trader using deep learning and deep reinforcement learning,https://link.springer.com/article/10.1007/s10489-020-01839-5,2021,Cited by 145
Market sentiment-aware deep reinforcement learning approach for stock portfolio allocation,https://www.sciencedirect.com/science/article/pii/S2215098621000070,2021,Cited by 105
A multi-agent deep reinforcement learning framework for algorithmic trading in financial markets,https://www.sciencedirect.com/science/article/pii/S0957417422013082,2022,Cited by 110
Xpm: An explainable deep reinforcement learning framework for portfolio management,https://dl.acm.org/doi/abs/10.1145/3459637.3482494,2021,Cited by 24
A synchronous deep reinforcement learning model for automated multi-stock trading,https://link.springer.com/article/10.1007/s13748-020-00225-z,2021,Cited by 42
An application of deep reinforcement learning to algorithmic trading,https://www.sciencedirect.com/science/article/pii/S0957417421000737,2021,Cited by 283
A multifaceted approach to stock market trading using reinforcement learning,https://ieeexplore.ieee.org/abstract/document/10570190/,2024,Cited by 6
Deep reinforcement learning based on transformer and U-Net framework for stock trading,https://www.sciencedirect.com/science/article/pii/S0950705122013077,2023,Cited by 29
Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder—DeepBreath,https://www.sciencedirect.com/science/article/pii/S0957417420302803,2020,Cited by 181
The design and implementation of a deep reinforcement learning and quantum finance theory-inspired portfolio investment management system,https://www.sciencedirect.com/science/article/pii/S0957417423027458,2024,Cited by 20
Deep reinforcement learning for portfolio management,https://www.sciencedirect.com/science/article/pii/S095070512300655X,2023,Cited by 54
MetaTrader: An reinforcement learning approach integrating diverse policies for portfolio optimization,https://dl.acm.org/doi/abs/10.1145/3511808.3557363,2022,Cited by 44
Portfolio management system in equity market neutral using reinforcement learning,https://link.springer.com/article/10.1007/s10489-021-02262-0,2021,Cited by 74
Deep reinforcement learning for stock portfolio optimization,https://arxiv.org/abs/2012.06325,2020,Cited by 18
Deep reinforcement learning robots for algorithmic trading: Considering stock market conditions and US interest rates,https://ieeexplore.ieee.org/abstract/document/10419157/,2024,Cited by 14
An adaptive financial trading system using deep reinforcement learning with candlestick decomposing features,https://ieeexplore.ieee.org/abstract/document/9044812/,2020,Cited by 58
Deep stock trading: A hierarchical reinforcement learning framework for portfolio optimization and order execution,https://arxiv.org/abs/2012.12620,2020,Cited by 10
A deep residual shrinkage neural network-based deep reinforcement learning strategy in financial portfolio management,https://ieeexplore.ieee.org/abstract/document/9403210/,2021,Cited by 23
Price trailing for financial trading using deep reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9112694/,2020,Cited by 77
A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,https://www.sciencedirect.com/science/article/pii/S095741742303083X,2024,Cited by 37
A portfolio model with risk control policy based on deep reinforcement learning,https://www.mdpi.com/2227-7390/11/1/19,2022,Cited by 14
Dynamic stock-decision ensemble strategy based on deep reinforcement learning,https://link.springer.com/article/10.1007/s10489-022-03606-0,2023,Cited by 39
A novel deep reinforcement learning strategy in financial portfolio management,https://ieeexplore.ieee.org/abstract/document/9760351/,2022,Cited by 8
Deep reinforcement learning in agent based financial market simulation,https://www.mdpi.com/1911-8074/13/4/71,2020,Cited by 46
The use of features to enhance the capability of deep reinforcement learning for investment portfolio management,https://ieeexplore.ieee.org/abstract/document/9403019/,2021,Cited by 17
"Deep reinforcement learning stock market trading, utilizing a CNN with candlestick images",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263181,2022,Cited by 27
Deep reinforcement learning based multi-objective systems for financial trading,https://ieeexplore.ieee.org/abstract/document/9358319/,2020,Cited by 16
Deep reinforcement learning for trading—A critical survey,https://www.mdpi.com/2306-5729/6/11/119,2021,Cited by 49
High-dimensional stock portfolio trading with deep reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9776121/,2022,Cited by 17
… financial portfolio management: The non-stationary transformer's fusion of macroeconomic indicators and sentiment analysis in a deep reinforcement learning …,https://www.mdpi.com/2076-3417/14/1/274,2023,Cited by 15
Reinforcement-learning based portfolio management with augmented asset movement prediction states,https://ojs.aaai.org/index.php/AAAI/article/view/5462,2020,Cited by 208
MSPM: A modularized and scalable multi-agent reinforcement learning-based system for financial portfolio management,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263689,2022,Cited by 44
Optimizing portfolio selection through stock ranking and matching: A reinforcement learning approach,https://www.sciencedirect.com/science/article/pii/S0957417425000521,2025,Cited by 7
Deep reinforcement learning agent for S&P 500 stock selection,https://www.mdpi.com/2075-1680/9/4/130,2020,Cited by 19
A novel anti-risk method for portfolio trading using deep reinforcement learning,https://www.mdpi.com/2079-9292/11/9/1506,2022,Cited by 16
Multi-feature supervised reinforcement learning for stock trading,https://ieeexplore.ieee.org/abstract/document/10195852/,2023,Cited by 11
Deep reinforcement learning pairs trading with a double deep Q-network,https://ieeexplore.ieee.org/abstract/document/9031159/,2020,Cited by 78
Deep reinforcement learning for stock portfolio optimization by connecting with modern portfolio theory,https://www.sciencedirect.com/science/article/pii/S095741742300057X,2023,Cited by 101
Reinforcement learning for quantitative trading,https://dl.acm.org/doi/abs/10.1145/3582560,2023,Cited by 117
GPM: A graph convolutional network based reinforcement learning framework for portfolio management,https://www.sciencedirect.com/science/article/pii/S0925231222005021,2022,Cited by 41
Application of deep q-network in portfolio management,https://ieeexplore.ieee.org/abstract/document/9101333/,2020,Cited by 93
Single stock trading with deep reinforcement learning: A comparative study,https://dl.acm.org/doi/abs/10.1145/3529836.3529857,2022,Cited by 10
Trademaster: A holistic quantitative trading platform empowered by reinforcement learning,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b8f6f7f2ba4137124ac976286eacb611-Abstract-Datasets_and_Benchmarks.html,2023,Cited by 11
Reinforcement learning with maskable stock representation for portfolio management in customizable stock pools,https://dl.acm.org/doi/abs/10.1145/3589334.3645615,2024,Cited by 9
