,tic,entry_date,exit_date,entry_price,exit_price,volume
0,AAPL,2024-12-06,2024-12-10,241.98098754882812,246.8935546875,17
1,AAPL,2025-04-10,2025-04-11,189.9550323486328,197.66615295410156,1
2,AAPL,2025-05-29,2025-05-30,199.72332763671875,200.622314453125,1
3,AAPL,2025-06-05,2025-06-06,200.40257263183594,203.68882751464844,2
4,AAPL,2025-06-11,2025-06-12,198.55465698242188,198.97418212890625,1
5,AAPL,2025-08-06,2025-08-08,213.0082550048828,229.0900115966797,35
6,BA,2024-11-22,2024-11-25,149.2899932861328,153.10000610351562,1
7,BA,2024-12-06,2024-12-10,153.92999267578125,164.10000610351562,36
8,BA,2025-01-03,2025-01-08,169.89999389648438,171.75999450683594,1
9,BA,2025-02-11,2025-02-14,180.44000244140625,184.4199981689453,3
10,BA,2025-03-14,2025-03-17,161.80999755859375,161.85000610351562,59
11,BA,2025-04-08,2025-04-11,139.38999938964844,156.83999633789062,1
12,BA,2025-05-12,2025-05-15,198.52999877929688,206.24000549316406,1
13,BA,2025-05-27,2025-05-28,201.02999877929688,201.5,1
14,BA,2025-06-18,2025-06-20,197.67999267578125,198.75,3
15,BA,2025-08-06,2025-08-08,225.0399932861328,229.1199951171875,1
16,GS,2024-12-02,2024-12-05,595.7714233398438,590.9098510742188,4
17,GS,2025-02-11,2025-02-13,640.85205078125,642.545166015625,6
18,GS,2025-02-26,2025-02-27,611.6729125976562,601.9993286132812,18
19,GS,2025-04-10,2025-04-11,487.37066650390625,491.9876708984375,20
20,GS,2025-04-22,2025-04-23,517.4109497070312,526.6846923828125,20
21,GS,2025-06-13,2025-06-16,613.5399780273438,627.8499755859375,19
22,GS,2025-06-18,2025-06-20,635.239990234375,640.7999877929688,2
23,GS,2025-08-06,2025-08-08,724.739990234375,721.27001953125,7
24,JPM,2024-11-22,2024-11-25,244.58087158203125,246.29307556152344,40
25,JPM,2024-12-09,2024-12-11,239.91656494140625,239.6410369873047,21
26,JPM,2024-12-27,2024-12-31,237.3187255859375,235.88204956054688,2
27,JPM,2025-01-02,2025-01-03,236.1674041748047,239.39501953125,41
28,JPM,2025-02-13,2025-02-14,273.31170654296875,273.5787658691406,1
29,JPM,2025-02-21,2025-02-25,261.36322021484375,254.59767150878906,43
30,JPM,2025-03-20,2025-03-21,236.4078826904297,238.99937438964844,40
31,JPM,2025-05-02,2025-05-06,251.29933166503906,248.05496215820312,45
32,JPM,2025-05-07,2025-05-08,248.1942901611328,252.25473022460938,45
33,JPM,2025-06-09,2025-06-10,265.4610900878906,267.31219482421875,2
34,JPM,2025-06-18,2025-06-20,272.646484375,273.6814880371094,38
35,JPM,2025-07-16,2025-07-21,285.82000732421875,290.9700012207031,14
36,JPM,2025-08-11,2025-08-13,289.55999755859375,290.5299987792969,5
