title,link,year,citations
A survey of forex and stock price prediction using deep learning,https://www.mdpi.com/2571-5577/4/1/9,2021,425
Deep reinforcement learning for automated stock trading: An ensemble strategy,https://dl.acm.org/doi/abs/10.1145/3383455.3422540,2020,358
Adaptive stock trading strategies with deep reinforcement learning methods,https://www.sciencedirect.com/science/article/pii/S0020025520304692,2020,292
An application of deep reinforcement learning to algorithmic trading,https://www.sciencedirect.com/science/article/pii/S0957417421000737,2021,283
Comprehensive review of deep reinforcement learning methods and applications in economics,https://www.mdpi.com/2227-7390/8/10/1640,2020,255
Multi-DQN: An ensemble of Deep Q-learning agents for stock market forecasting,https://www.sciencedirect.com/science/article/pii/S0957417420306321,2021,241
FinRL: A deep reinforcement learning library for automated stock trading in quantitative finance,https://arxiv.org/abs/2011.09607,2020,235
Reinforcement-learning based portfolio management with augmented asset movement prediction states,https://ojs.aaai.org/index.php/AAAI/article/view/5462,2020,208
Financial portfolio optimization with online deep reinforcement learning and restricted stacked autoencoder—DeepBreath,https://www.sciencedirect.com/science/article/pii/S0957417420302803,2020,181
Application of deep reinforcement learning in stock trading strategies and stock forecasting,https://link.springer.com/article/10.1007/s00607-019-00773-w,2020,175
"An overview of machine learning, deep learning, and reinforcement learning-based techniques in quantitative finance: recent progress and challenges",https://www.mdpi.com/2076-3417/13/3/1956,2023,170
FinRL: Deep reinforcement learning framework to automate trading in quantitative finance,https://dl.acm.org/doi/abs/10.1145/3490354.3494366,2021,157
Time-driven feature-aware jointly deep reinforcement learning for financial signal representation and algorithmic trading,https://www.sciencedirect.com/science/article/pii/S0957417419305822,2020,151
A multi-layer and multi-ensemble stock trader using deep learning and deep reinforcement learning,https://link.springer.com/article/10.1007/s10489-020-01839-5,2021,145
Cost-sensitive portfolio selection via deep reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9031418/,2020,144
Deeptrader: a deep reinforcement learning approach for risk-return balanced portfolio management with market conditions embedding,https://ojs.aaai.org/index.php/AAAI/article/view/16144,2021,140
AlphaPortfolio: Direct construction through deep reinforcement learning and interpretable AI,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3698800,2021,131
Reinforcement learning for quantitative trading,https://dl.acm.org/doi/abs/10.1145/3582560,2023,117
A multi-agent deep reinforcement learning framework for algorithmic trading in financial markets,https://www.sciencedirect.com/science/article/pii/S0957417422013082,2022,110
Market sentiment-aware deep reinforcement learning approach for stock portfolio allocation,https://www.sciencedirect.com/science/article/pii/S2215098621000070,2021,105
NeoRL: A near real-world benchmark for offline reinforcement learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/9cd828eb8dc81a84fb6bf89a94263e1b-Abstract-Datasets_and_Benchmarks.html,2022,105
Deep reinforcement learning for stock portfolio optimization by connecting with modern portfolio theory,https://www.sciencedirect.com/science/article/pii/S095741742300057X,2023,101
Finrl-meta: Market environments and benchmarks for data-driven financial reinforcement learning,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0bf54b80686d2c4dc0808c2e98d430f7-Abstract-Datasets_and_Benchmarks.html,2022,92
Deep reinforcement learning approach for trading automation in the stock market,https://ieeexplore.ieee.org/abstract/document/9877940/,2022,92
Deep reinforcement learning for portfolio management of markets with a dynamic number of assets,https://www.sciencedirect.com/science/article/pii/S0957417420307776,2021,89
Modelling stock markets by multi-agent reinforcement learning,https://link.springer.com/article/10.1007/s10614-020-10038-w,2021,88
Recommending cryptocurrency trading points with deep reinforcement learning approach,https://www.mdpi.com/2076-3417/10/4/1506,2020,85
Deep reinforcement learning in quantitative algorithmic trading: A review,https://arxiv.org/abs/2106.00123,2021,85
An adaptive agent decision model based on deep reinforcement learning and autonomous learning,https://www.aasmr.org/liss/Vol.10/No.3%202023/Vol.10.No.3.9.pdf,2023,82
A deep Q-learning portfolio management framework for the cryptocurrency market,https://link.springer.com/article/10.1007/s00521-020-05359-8,2020,79
Deep reinforcement learning pairs trading with a double deep Q-network,https://ieeexplore.ieee.org/abstract/document/9031159/,2020,78
Price trailing for financial trading using deep reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9112694/,2020,77
Portfolio management system in equity market neutral using reinforcement learning,https://link.springer.com/article/10.1007/s10489-021-02262-0,2021,74
Deep reinforcement learning based trading agents: Risk curiosity driven learning for financial rules-based policy,https://www.sciencedirect.com/science/article/pii/S0957417420311970,2021,70
Bitcoin transaction strategy construction based on deep reinforcement learning,https://www.sciencedirect.com/science/article/pii/S1568494621008747,2021,69
Portfolio trading system of digital currencies: A deep reinforcement learning with multidimensional attention gating mechanism,https://www.sciencedirect.com/science/article/pii/S0925231220305427,2020,63
Portfolio constructions in cryptocurrency market: A CVaR-based deep reinforcement learning approach,https://www.sciencedirect.com/science/article/pii/S0264999322003157,2023,60
Deep reinforcement learning for active high frequency trading,https://arxiv.org/abs/2101.07107,2021,59
Maps: Multi-agent reinforcement learning-based portfolio management system,https://arxiv.org/abs/2007.05402,2020,59
Market making with signals through deep reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9410223/,2021,59
An adaptive financial trading system using deep reinforcement learning with candlestick decomposing features,https://ieeexplore.ieee.org/abstract/document/9044812/,2020,58
Sentiment and knowledge based algorithmic trading with deep reinforcement learning,https://link.springer.com/chapter/10.1007/978-3-031-12423-5_13,2022,57
A novel deep reinforcement learning based automated stock trading system using cascaded lstm networks,https://www.sciencedirect.com/science/article/pii/S0957417423033031,2024,57
Multi-period portfolio optimization using a deep reinforcement learning hyper-heuristic approach,https://www.sciencedirect.com/science/article/pii/S0040162523006297,2024,55
A multi-agent reinforcement learning framework for optimizing financial trading strategies based on TimesNet,https://www.sciencedirect.com/science/article/pii/S0957417423020043,2024,54
Commission fee is not enough: A hierarchical reinforced framework for portfolio management,https://ojs.aaai.org/index.php/AAAI/article/view/16142,2021,54
Deep reinforcement learning for portfolio management,https://www.sciencedirect.com/science/article/pii/S095070512300655X,2023,54
Reinforcement Learning‐Based Model for Enterprise Financial Asset Risk Assessment and Intelligent Decision‐Making,https://www.preprints.org/frontend/manuscript/76ca8d1093ca570682400636c0e05cc5/download_pub,2024,52
Dynamic portfolio rebalancing through reinforcement learning,https://link.springer.com/article/10.1007/s00521-021-06853-3,2022,52
Intelligent algorithmic trading strategy using reinforcement learning and directional change,https://ieeexplore.ieee.org/abstract/document/9514595/,2021,52
Multi-type data fusion framework based on deep reinforcement learning for algorithmic trading,https://link.springer.com/article/10.1007/s10489-022-03321-w,2023,50
Machine learning for active portfolio management,https://wrap.warwick.ac.uk/id/eprint/153653/,2021,49
Deep reinforcement learning for trading—A critical survey,https://www.mdpi.com/2306-5729/6/11/119,2021,49
Stock trading rule discovery with double deep Q-network,https://www.sciencedirect.com/science/article/pii/S156849462100243X,2021,49
Deep reinforcement learning in agent based financial market simulation,https://www.mdpi.com/1911-8074/13/4/71,2020,46
Learning to trade in financial time series using high-frequency through wavelet transformation and deep reinforcement learning,https://link.springer.com/article/10.1007/s10489-021-02218-4,2021,45
Sentiment-influenced trading system based on multimodal deep reinforcement learning,https://www.sciencedirect.com/science/article/pii/S1568494621007092,2021,44
MSPM: A modularized and scalable multi-agent reinforcement learning-based system for financial portfolio management,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263689,2022,44
Beating the stock market with a deep reinforcement learning day trading system,https://ieeexplore.ieee.org/abstract/document/9206938/,2020,44
MetaTrader: An reinforcement learning approach integrating diverse policies for portfolio optimization,https://dl.acm.org/doi/abs/10.1145/3511808.3557363,2022,44
Explainable deep reinforcement learning for portfolio management: an empirical approach,https://dl.acm.org/doi/abs/10.1145/3490354.3494415,2021,43
Stock trading strategies based on deep reinforcement learning,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/4698656,2022,42
A synchronous deep reinforcement learning model for automated multi-stock trading,https://link.springer.com/article/10.1007/s13748-020-00225-z,2021,42
Foundations of reinforcement learning with applications in finance,https://www.taylorfrancis.com/books/mono/10.1201/9781003229193/foundations-reinforcement-learning-applications-finance-ashwin-rao-tikhon-jelvis,2022,42
Multiagent-based deep reinforcement learning for risk-shifting portfolio management,https://www.sciencedirect.com/science/article/pii/S1568494622002678,2022,42
GPM: A graph convolutional network based reinforcement learning framework for portfolio management,https://www.sciencedirect.com/science/article/pii/S0925231222005021,2022,41
Practical algorithmic trading using state representation learning and imitative reinforcement learning,https://ieeexplore.ieee.org/abstract/document/9611246/,2021,41
Stock movement prediction and portfolio management via multimodal learning with transformer,https://ieeexplore.ieee.org/abstract/document/9414893/,2021,41
Online portfolio management via deep reinforcement learning with high-frequency data,https://www.sciencedirect.com/science/article/pii/S030645732200348X,2023,41
Stock market prediction using deep reinforcement learning,https://www.mdpi.com/2571-5577/6/6/106,2023,41
Dynamic stock-decision ensemble strategy based on deep reinforcement learning,https://link.springer.com/article/10.1007/s10489-022-03606-0,2023,39
Using data augmentation based reinforcement learning for daily stock trading,https://www.mdpi.com/2079-9292/9/9/1384,2020,39
Finrl-podracer: high performance and scalable deep reinforcement learning for quantitative finance,https://dl.acm.org/doi/abs/10.1145/3490354.3494413,2021,37
Dynamic datasets and market environments for financial reinforcement learning,https://link.springer.com/article/10.1007/s10994-023-06511-w,2024,37
A novel deep reinforcement learning framework with BiLSTM-Attention networks for algorithmic trading,https://www.sciencedirect.com/science/article/pii/S095741742303083X,2024,37
Optimizing automated trading systems with deep reinforcement learning,https://www.mdpi.com/1999-4893/16/1/23,2023,37
A hybrid decision support system for adaptive trading strategies: Combining a rule-based expert system with a deep reinforcement learning strategy,https://www.sciencedirect.com/science/article/pii/S0167923623001756,2024,36
A deep reinforcement learning-based decision support system for automated stock market trading,https://ieeexplore.ieee.org/abstract/document/9969608/,2022,36
Deep reinforcement learning (DRL) for portfolio allocation,https://link.springer.com/chapter/10.1007/978-3-030-67670-4_32,2020,35
Novel deep reinforcement algorithm with adaptive sampling strategy for continuous portfolio optimization,https://ieeexplore.ieee.org/abstract/document/9437210/,2021,34
Importance of machine learning in making investment decision in stock market,https://journals.sagepub.com/doi/abs/10.1177/02560909211059992,2021,33
DeepScalper: A risk-aware reinforcement learning framework to capture fleeting intraday trading opportunities,https://dl.acm.org/doi/abs/10.1145/3511808.3557283,2022,33
The recurrent reinforcement learning crypto agent,https://ieeexplore.ieee.org/abstract/document/9755122/,2022,32
A study of forecasting stocks price by using deep Reinforcement Learning,https://ieeexplore.ieee.org/abstract/document/10174358/,2023,31
GraphSAGE with deep reinforcement learning for financial portfolio optimization,https://www.sciencedirect.com/science/article/pii/S0957417423025290,2024,31
Deep learning models for stock market forecasting: A comprehensive comparative analysis,https://pdfs.semanticscholar.org/c8a4/79e6fe704093028d16d04c46827b80365a70.pdf,2024,31
Extending deep reinforcement learning frameworks in cryptocurrency market making,https://arxiv.org/abs/2004.06985,2020,30
Optimization of high-frequency trading strategies using deep reinforcement learning,https://newjaigs.org/index.php/JAIGS/article/view/247,2024,30
Deep reinforcement learning for financial trading using multi-modal features,https://www.sciencedirect.com/science/article/pii/S0957417423023515,2024,30
Deep reinforcement learning based on transformer and U-Net framework for stock trading,https://www.sciencedirect.com/science/article/pii/S0950705122013077,2023,29
Multi-agent reinforcement learning approach for hedging portfolio problem,https://link.springer.com/article/10.1007/s00500-021-05801-6,2021,28
Deep reinforcement learning for quantitative trading: Challenges and opportunities,https://ieeexplore.ieee.org/abstract/document/9779600/,2022,28
Algorithmic trading using continuous action space deep reinforcement learning,https://www.sciencedirect.com/science/article/pii/S0957417423017475,2024,27
"Deep reinforcement learning stock market trading, utilizing a CNN with candlestick images",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263181,2022,27
